,original,corrected,native
1327,I want to improve m'y English by talking with other people.,I want to improve my English by talking with other people.,French
1328,"Hi there! I have a quite good level in English but I am far to be fluent. It would be a pleasure to meet you for a coffee or a walk and exchange about any subject, in English and French. So feel free to contact me !","Hi there! I have a quite good level of English, but I am far from being fluent. It would be a pleasure to meet you for a coffee or a walk and discuss any subject, in English and French. So feel free to contact me !",French
1329,"Hi I'm Michael and I looking for peoples to speak and improve my languages level. I'm french (from France)and I can help you with this language. I would like to learn it
When I'm arrived in Belgium I had some Dutch lessons. When I was younger I had learned German at school.","Hi, I'm Michael, and I'm looking for people to speak and improve my language level. I'm French (from France), and I can help you with this language. I would like to learn it When I arrived in Belgium, I had some Dutch lessons. When I was younger, I had learned German at school.",French
1330,I would like to meet people of my age to exchange in english or french on a wide range of topics and to discover new cultures and share the French culture with interested people. I'm not fluent in english but i have the basics acquired during my higher education. I read quite well but speak less fluently due to lack of practise. I'm a secondary school teacher.,"I would like to meet people of my age to exchange in English or French on a wide range of topics and to discover new cultures and share the French culture with interested people. I'm not fluent in English, but I have the basics acquired during my higher education. I read quite well but speak less fluently due to a lack of practice. I'm a secondary school teacher.",French
1331,I'm looking for a native english speaker to have conversations classes on a weekly basis (around two hours or more) preferably in person. I live in a town next to the airport of Lyon (eastern district). I work in the business district of La Part Dieu (3rd ditrict). I'm looking forward to hearing from you soon !,I'm looking for a native English speaker to have conversation classes on a weekly basis (around two hours or more) preferably in person. I live in a town next to the airport of Lyon (eastern district). I work in the business district of La Part Dieu (3rd division). I'm looking forward to hearing from you soon !,French
1332,"Hi, I am Loubna, I'm a french young woman who wants to practice and improve my english with someone native. I am also interested in practice spanish because I love this language and the spanish culture. I will be happy to practice moroccan arabic because my parents are from Morocco but I never really learn this language. In return I can help you to learn and pratice French. I am only looking for female pen pals.","Hi, I am Loubna. I am a French young woman who wants to practice and improve my English with someone native. I am also interested in practicing Spanish because I love this language and the Spanish culture. I will be happy to practice Moroccan Arabic because my parents are from Morocco, but I never really learned this language. In return, I can help you to learn and practice French. I am only looking for female pen pals.",French
1333,"Hello everyone,
I am a native French speaker working as an Engineer in Lyon. I have not spoken English for several years and I want to practice it again. If you can be patient about my English, I will be happy to talk and help you in French :D In addition, I’m interested in a lot of things. So we probably share some activities :)
And maybe we’ll become good friends. Looking forward to hearing from you!","Hello, everyone, I am a native French speaker working as an Engineer in Lyon. I have not spoken English for several years, and I want to practice it again. If you can be patient with my English, I will be happy to talk and help you with French :D In addition, I'm interested in a lot of things, so we can probably share some activities :) And maybe we'll become good friends. Looking forward to hearing from you!",French
1334,"I want to improve my English with some conversations with native speakers. I also practice yoga and running. If you want to practice your french, come talk to me ! I’m up to make conversation in visio, half in english and half in french ! I’m in holidays this week and I really want to exchange with different people.","I want to improve my English by having some conversations with native speakers. I also practice yoga and running. If you want to practice your French, come talk to me ! I'm up to make conversations in Visio, half in English and half in French ! I'm on holidays this week, and I really want to exchange experiences with different people.",French
1335,"I would like to practice conversation in video chat. My level of understanding is rather good but sometimes I struggle with expression because of a lack of tranning ! :D
I'll be happy to help you in french. I'm interested in many things like Nature, ornithology, environment, animals, dog education, Music, Music production, Music business, guitar, Technologies, Webmarketing, Gaming and retrogaming, Japan and Asia, do-it-yourself ! I can use any of chat softwares.","I would like to practice conversation in video chat. My level of understanding is rather good, but sometimes I struggle with expression because of a lack of training ! :D I'll be happy to help you in French. I'm interested in many things like nature, ornithology, environment, animals, dog education, Music, Music production, Music business, guitar, Technologies, Webmarketing, Gaming and retrogaming, Japan and Asia, do-it-yourself ! I can use any of the chat softwares.",French
1336,"I'm looking to improve my english with some native speaker to make my job easier and be more confortable when traveling abroad. I would love to help in french in return. My english level is intermediate. Reading, writing, and understanding oral english is ok, but I have some trouble speaking fluently. We can discuss any topic : nature, sport, technology, travel, sciences, movies..
Feel free to contact me for any kind of interaction (chat and then face-to-face if we match).","I'm looking to improve my English with some native speakers to make my job easier and be more comfortable when traveling abroad. I would love to help in French in return. My English level is intermediate. Reading, writing, and understanding oral English is OK, but I have some trouble speaking fluently. We can discuss any topic: nature, sport, technology, travel, sciences, movies.. Feel free to contact me for any kind of interaction (chat and then face-to-face if we match).",French
1337,"Hey, I live in France, I love learning new things and especially languages, I also like to help others so if you want to improve, don't hesitate to contact me!","Hey, I live in France. I love learning new things and, especially languages. I also like to help others, so if you want to improve, don't hesitate to contact me!",French
1338,I am a french teacher retired and I would like to improve my english listening to be able to communicate with other people.,"I am a retired French teacher, and I would like to improve my English listening skills to be able to communicate with other people.",French
1339,"Hi,
I am Barbara, a French woman who is looking for a native English language partner! I need to practice! I am only looking for someone who is ok to speak English &amp; French. I would be happy to help with French language, if we can talk together in English too!","Hi, I am Barbara, a French woman who is looking for a native English language partner! I need to practice! I am only looking for someone who is OK to speak English &amp; French. I would be happy to help with French language, if we can talk together in English too!",French
1340,"Hello everybody, I am french and I ve got difficullties to speak fluently in English.","Hello, everybody, I am French, and I have got the difficulties of speaking fluently in English.",French
1341,i'm living in lille (france) and i try to learn English. I search a partner to practice English and I can help in French learning.,"I'm living in Lille (france), and I try to learn English. I search for a partner to practice English, and I can help with French learning.",French
1342,"I would like to exchange with a person around my age who would like to seriously improve their language skills. I can exchange about everything, while getting to know another person :)",I would like to exchange with a person around my age who would like to seriously improve their language skills. I can exchange about everything while getting to know another person :),French
1343,"I came from France with my husband in Boston and I would like to improve my English. I like talking with people so I think finding a conversation partner would be the perfect way for me to learn. I like also teaching my language to the others. I am sure we will find a lot of diferent conversations subjects together : culture, food, projects, etc.","I came from France with my husband to Boston, and I would like to improve my English. I like talking with people, so I think finding a conversation partner would be the perfect way for me to learn. I like also teaching my language to others. I am sure we will find a lot of different conversation subjects together: culture, food, projects, etc.",French
1344,"I'm back in paris after living 2,5 years in munich.",I'm back in Paris after living for 2.5 years in Munich.,French
1345,"Can you help me with Hebrew please ? I can help you with French or Italian, thanks !","Can you help me with Hebrew, please ? I can help you with French or Italian, thanks !",French
1346,"I am a biotechnology teacher, I would like to speak english with natives in order to improve my language skills. I will be glad to help speaking french in return.",I am a biotechnology teacher; I would like to speak English with native speakers in order to improve my language skills. I will be glad to help you with French speaking in return.,French
1347,"Hello
My name in Céline, I live near lyon, I am quality technician.I love traveling my last trip was in Irland it was beautiful. I would like improve my English and share a good discussions.","Hello, my name is Céline. I live near Lyon. I am a quality technician. I love traveling. My last trip was to Ireland. It was beautiful. I would like to improve my English and share good discussions.",French
1348,"Hello,
I am Marie, a French native speaker, I am here for language exchange. I am interested to improve my English, as well as to learn Spanish, and Chinese. Don't hesitate to send me a message,","Hello, I am Marie, a native French speaker. I am here for language exchange. I am interested in improving my English, as well as learning Spanish and Chinese. Don't hesitate to send me a message.",French
1349,"I have been learning english since 1 year but, I don't speak enough ! I'd like to speak with someone about every day life, travel, sports... I can share with you a part of my french life and help you to learn french.","I have been learning English for 1 year, but I don't speak enough ! I'd like to speak with someone about every day life, travel, sports... I can share with you a part of my French life and help you to learn French.",French
1350,"Hi, I'm just a simple 30 years old french guy trying to improve his language skills. I would say that my english level is relatively decent (i miss vocabulary and my grammar sucks a lot :D) I understand a bit of czech, but it's difficult for me to speak (except for ordering a cappucino :D) And i started with russian (i know someth like 30-40 words but can't read it yet) Anyway i would be glad to meet interesting people here and have a conversation exchange !","Hi, I'm just a simple 30 years old French guy trying to improve his language skills. I would say that my English level is relatively decent (I miss vocabulary and my grammar sucks a lot :D) I understand a bit of Czech, but it's difficult for me to speak (except for ordering a cappucino :D) And I started with Russian (I know some 30-40 words but can't read it yet) Anyway, I would be glad to meet interesting people here and have a conversation exchange !",French
1351,"I would like to learn many languages, I'm a native French speaker if you're interested",I would like to learn many languages; I'm a native French speaker if you're interested.,French
1352,"I would like to improve my English, my spoken English","I would like to improve my English, my spoken English.",French
1353,"Hello a French guy who wanna improve his English especially an American Accent so he can talk as Denzel Washington...
An I can teach some french...","Hello, a French guy who wants to improve his English, especially his American accent so he can talk like Denzel Washington... And I can teach some French...",French
1354,"Hello, I'd love speak with native and no native english speaker. I'm Mohamed and I apready glade to meet you.","Hello, I'd love to speak with a native and no native English speaker. I'm Mohamed, and I am already glad to meet you.",French
1355,"Hello,
French living in France I would like to improve my english and my prononciation in order to be able to travel and speak more fluently with english speakers. I love climbing and canyonning, I'm spending most of my holidays in the montain. At home I have a child of 18 month. So I like speak about children and familly too. My work is computer programing. We could also speak about that. Hopping I could help you learning french.","Hello, French living in France I would like to improve my English and my pronunciation in order to be able to travel and speak more fluently with English speakers. I love climbing and canyoning, I'm spending most of my holidays in the mountains. At home I have a child of 18 months. So I like to speak about children and family too. My work is computer programming. We could also speak about that. Hoping I could help you learn French.",French
1356,"Hi everyone, First of all I'm french and I'm friendly people. I'm currently study Mechanical Enginnering in a two year degree (HND). I would like to improve my english and my german skills. As soon as next year (sept 2017) I will study at the Glasgow City College and I'm looking for to improve my english and especially to discover new culture . As I wrote above I'm native french and i speak without a strong accent, so It would be with a lot of pleasure that i will help you to improve your french","Hi everyone, First of all, I'm French and I'm a friendly people. I currently study Mechanical Engineering for a two year degree (HND). I would like to improve my English and my German skills. As soon as next year (sept 2017), I will study at the Glasgow City College, and I'm looking to improve my English and especially to discover new cultures. As I wrote above, I'm native French and I speak without a strong accent, so It would be with a lot of pleasure that I will help you to improve your French.",French
1357,"I'm French ... this is why my avatar is a frog ! I've lived in England and learnt English in the last century... I don't used this language anymore at work and I don't want to forget it. I would be very happy to help you with your French. My hobbies : I like travelling, meeting people, eating, reading, cinema and sport. Please, contact me if you are around my age :-)","I'm French ... this is why my avatar is a frog ! I've lived in England and learned English in the last century... I don't use this language anymore at work and I don't want to forget it. I would be very happy to help you with your French. My hobbies: I like traveling, meeting people, eating, reading, cinema, and sport. Please contact me if you are around my age-- :-)",French
1358,"I'm Zi Lin and I'm 20 years old. I study art and video games. I like to create and learn new things. I'm interested in a lot of things. I'm learning Chinese, I've also been practicing English since secondary college. I would like to develop and practice my Chinese. I can help you to improve your French and we can also speak English. All digital platforms to communicate suit me (WeChat, Discord, Whatsapp etc...).","I'm Zi Lin, and I'm 20 years old. I study art and video games. I like to create and learn new things. I'm interested in a lot of things. I've been learning Chinese, and I've also been studying English since secondary school. I would like to develop and practice my Chinese. I can help you to improve your French, and we can also speak English. All digital platforms to communicate suit me (WeChat, Discord, Whatsapp, etc...).",French
1359,"I'm looking for native English speakers to improve it, and take advantage of the opportunity to meet new people and learn about a different culture, in return I'd be happy to help you with Spanish or Basque. If you want to practice just let me know!","I'm looking for native English speakers to improve it and take advantage of the opportunity to meet new people and learn about a different culture; in return, I'd be happy to help you with Spanish or Basque. If you want to practice, just let me know!",Spanish<br/>Basque
1360,"Im a 21 years old Basque currently studying Electronical Engineering. I believe that knowing english is essential right now, so I would like to practice it while also helping others with Spanish or Basque, and also learning about different cultures.","I'm a 21 years old Basque currently studying Electronics Engineering. I believe that knowing English is essential right now, so I would like to practice it while also helping others with Spanish or Basque and also learning about different cultures.",Spanish<br/>Basque
1361,I'm a student from Bilbao and I want to improve my English knowing people from any other country by the way.,"I'm a student from Bilbao, and I want to improve my English by knowing people from any other country by the way.",Spanish<br/>Basque
1362,"I am learning English and I want to practice to improve my English. In exchange, I can speak in Basque or Spanish.","I am learning English, and I want to practice to improve my English. In exchange, I can speak Basque or Spanish.",Spanish<br/>Basque
1363,"I offer spanish and basque languages, I would like to improve my english",I offer Spanish and Basque languages. I would like to improve my English.,Spanish<br/>Basque
1364,"Hi, I am a young student and I want to speak with some english people not to improve but to mantein my level and hopefully get the C1 certificate soon. I am open to teach (by having conversations) Spanish and Basque to the people that helps me speaking some interesting conversations.","Hi, I am a young student, and I want to speak with some English people not to improve but to maintain my level and hopefully get the C1 certificate soon. I am open to teaching (by having conversations) Spanish and Basque to the people that help me speak some interesting conversations.",Spanish<br/>Basque
1365,"I´m learning English but I don´t speak very well, that´s why I would like to improve my English speaking with some native speaker. I can offer you conversations in Spanish or Basque .","I m learning English, but I don t speak very well. That s why I would like to improve my English speaking speaking with some native speakers. I can offer you conversations in Spanish or Basque.",Spanish<br/>Basque
1366,"Hi, I am a Music and English language teacher in a secondary school and I would like to improve my speaking skill. I also can help anyone who is interested in learning Spanish or Basque, which is the language we speak in the Basque Country, North of Spain.","Hi, I am a Music and English language teacher in a secondary school, and I would like to improve my speaking skills. I can also help anyone who is interested in learning Spanish or Basque, which is the language we speak in the Basque Country, North of Spain.",Spanish<br/>Basque
1367,"My current level of English is intermediate, but I would like to improve my expression skills and gain fluency speaking with natives. I like to dance and share good times with family and friends. If you have a similar understanding of Spanish (or vasc) and you want a regular exchange, contact me, I will be pleased to help you with spanish or vask. I´m patient and have a sense of humour!","My current level of English is intermediate, but I would like to improve my expression skills and gain fluency speaking with native speakers. I like to dance and share good times with family and friends. If you have a similar understanding of Spanish (or Spanish) and you want a regular exchange, contact me. I will be pleased to help you with Spanish or Spanish. I m patient and have a sense of humour!",Spanish<br/>Basque
1368,"I’m a teacher, mother, traveler.., and so many other things. This pandemic situation makes me to stay at home, and it would be great to continue meeting foreign people as I refresh my poor English and share my Spanish or Basque. I’m travel addict, it would be a great stuff to talk about. Childhood themes also are interesting for me.","I'm a teacher, mother, traveler... and so many other things. This pandemic situation makes me stay at home, and it would be great to continue meeting foreign people as I refresh my poor English and share my Spanish or Basque. I'm a travel addict; it would be great stuff to talk about. Child themes are also interesting for me.",Spanish<br/>Basque
1369,"I have a History degree and I work in the field of International Cooperation for Development, mainly in the cultural sector. I am a very sociable and used to live with different cultures person. I would like to exchange English (B2 level) for Spanish or Basque.","I have a History degree, and I work in the field of International Cooperation for Development, mainly in the cultural sector. I am very sociable and used to live with different cultures. I would like to exchange English (B2 level) for Spanish or Basque.",Spanish<br/>Basque
1370,"I'm Izar and I would like to practice and improve my English. Apart from Euskara and Spanish, I also know a little bit of Catalan. I'm very curious and I want to learn about other cultures.","I'm Izar, and I would like to practice and improve my English. Apart from Euskara and Spanish, I also know a little bit of Catalan. I'm very curious, and I want to learn about other cultures.",Spanish<br/>Basque
1371,I speak Basque and Spanish and I am looking for people with whom to practice my English. I can help with Spanish too. Send me a message if you are interested!,"I speak Spanish and Basque, and I am looking for people with whom to practice my English. I can help with Spanish too. Send me a message if you are interested!",Spanish<br/>Basque
1372,I am a spanish male who wants learn English. I work in basque country and y speak perfectly basque and spanish.,"I am a Spanish male who wants to learn English. I work in Basque country, and I speak perfectly well both Basque and Spanish.",Spanish<br/>Basque
1373,I live in Azpeitia and I want to improve my English. I speak Basque and Spanish. We can meet and practice English and Basque or Spanish.,"I live in Azpeitia, and I want to improve my English. I speak Spanish and Basque. We can meet and practice English and Spanish or Basque.",Spanish<br/>Basque
1374,"Hello there! I am a Basque girl living in Bilbao interested in improving my English as I'm getting ready for an interview in English. I am currently doing English lessons, but I would like to top that up with 1-2-1 conversations to get used to the English accent and improve my level of understanding. In return, I can help you with your Spanish or Basque - as I'm native speaker in both languages. Looking forward to hearing from you!","Hello there! I am a Basque girl living in Bilbao interested in improving my English as I'm getting ready for an interview in English. I am currently doing English lessons, but I would like to top that up with 1-2-1 conversations to get used to the English accent and improve my level of understanding. In return, I can help you with your Spanish or Basque - as I'm a native speaker in both languages. Looking forward to hearing from you!",Spanish<br/>Basque
1375,I'm Lorena from Bilbao and I'd like to improve my english.If you are interested in improving your Spanish I can help you.,"I'm Lorena from Bilbao, and I'd like to improve my English. If you are interested in improving your Spanish, I can help you.",Spanish<br/>Basque
1376,"Hello veryone,
I would like to improve my english and at the same time I could help you with your spanish or basque. I lived in England some years ago for a year but it was a long time ago, so I want to practice because I really like your lenguage.","Hello, everyone, I would like to improve my English and, at the same time, I could help you with your Spanish or Basque. I lived in England some years ago for a year, but it was a long time ago, so I want to practice because I really like your language.",Spanish<br/>Basque
1377,I want yo improve my English,I want you to improve my English.,Spanish<br/>Basque
1378,"Hi there, I have been in Canada for two years and I would like meet English speaker in my home town, Basque Country. I know how hard it is living in a foreing country, I would be glad to teach you Spanish or Basque and to show you some Basque places and Basque culture. I am sure that we can help each other. I'm looking forward hear from you.","Hi there, I have been in Canada for two years, and I would like to meet an English speaker in my home town, Basque Country. I know how hard it is living in a foreign country; I would be glad to teach you Spanish or Basque and to show you some Basque places and Basque culture. I am sure that we can help each other. I'm looking forward to hearing from you.",Spanish<br/>Basque
1379,"I am studiing Biomedical Engineering in Barcelona and I am interested in learning English. I would like to improve my spoken English. I like sports, traveling and adventuring new places. I can teach you Spanish and Basque.","I am studying Biomedical Engineering in Barcelona, and I am interested in learning English. I would like to improve my spoken English. I like sports, traveling, and exploring new places. I can teach you Spanish and Basque.",Spanish<br/>Basque
1380,"Hi, I'm Ane, During the last year I lived in London and I do not want to lose the English I learned. My native language are Basque and Spanish. I would like to help people with these languages ​​and at the same time practice my English.","Hi, I'm Ane. During the last year, I lived in London, and I do not want to lose the English I learned. My native languages are Basque and Spanish. I would like to help people with these languages and, at the same time, practice my English.",Spanish<br/>Basque
1381,"I'm from the Basque Country. I would like to practice my English with any native speaker.I will be happy to teach you Spanish or Euskara,which are my native languages .","I'm from the Basque Country. I would like to practice my English with any native speaker. I will be happy to teach you Spanish or Euskara, which are my native languages.",Spanish<br/>Basque
1382,"Hi, I'm new in London and I want to improve my English. I can help you with spanish or basque languages. I'm free from monday to friday to take a coffie and practice our languages.","Hi, I'm new in London, and I want to improve my English. I can help you with Spanish or Basque languages. I'm free from Monday to Friday to take a coffie and practice our languages.",Spanish<br/>Basque
1383,"And I want to improve my Englis, so I can help to you with your Spanish or Basque.","And I want to improve my English, so I can help you with your Spanish or Basque.",Spanish<br/>Basque
1384,I´m a guy from the basque country. Want to improve my English.,I m a guy from the Basque Country. I want to improve my English.,Spanish<br/>Basque
1385,"I am from Spain, I am Chemical Engineer and I want to gain fluency in English. Also, I would like to help people improving Spanish.","I am from Spain, I am a Chemical Engineer, and I want to gain fluency in English. Also, I would like to help people improve their Spanish.",Spanish<br/>Basque
1386,"i would like to practice some English with someone. I am social and friendly, I can talk about any topic.",I would like to practice some English with someone. I am social and friendly; I can talk about any topic.,Spanish<br/>Basque
1387,"I live in Bilbao and I would like to improve my english and Italian, and if exist the chance also a little of finnish. In return, I'd be happy to teach Spanish or basque to anyone.","I live in Bilbao, and I would like to improve my English and Italian, and if there is any chance at all, a little Finnish too. In return, I'd be happy to teach Spanish or Basque to anyone.",Spanish<br/>Basque
1388,I can offer my spanish for exchange.,I can offer my Spanish for exchange.,Spanish<br/>Basque
1389,"Hi there! I'm from Spain but I will be living in Manchester for the summer. I'm looking out for people who are interested improving their Spanish or Basque while I do the same with English. I'd achieved the B2 level few years ago and since then stayed in contact with your language with Netflix and related. Now that I am thinking about examining myself from level C1 I would love to boost my skills while you do the same or, at least, know new people here in Manchester which whom I can chat.","Hi there! I'm from Spain, but I will be living in Manchester for the summer. I'd achieved the B2 level a few years ago and since then stayed in contact with your language through Netflix and related. Now that I am thinking about examining myself from level C1, I would love to boost my skills while you do the same or, at least, know new people here in Manchester with whom I can chat.",Spanish<br/>Basque
1390,"Hi
I woluld like to improve my english. We can to be one day a week and learning for both could be better.","Hi, I would like to improve my English. We could be one day a week, and learning both could be better.",Spanish<br/>Basque
1391,"I used to speak English, but long time ago. I need to recover it.","I used to speak English, but it was a long time ago. I need to recover it.",Spanish<br/>Basque
1392,"I’m looking for someone to practice my speaking english. I’ts because I could have an speaking exam. My native languages are Basque and Spanish, so if you want to practice one or both of them tell me.","I'm looking for someone to practice my English speaking. It's because I could have an English speaking exam. My native languages are Basque and Spanish, so if you want to practice one or both of them, tell me.",Spanish<br/>Basque
1393,Wish I could be part of your world.,I wish I could be part of your world.,Spanish<br/>Basque
1394,"What I want is practice english with someone who is available, and also I can help with the Spanish or Basque language.","What I want is to practice English with someone who is available, and I can also help with the Spanish or Basque language.",Spanish<br/>Basque
1395,"I've living in Bolivia, Ecuador, Brussels... and now, after coming back home, I realize I need to improve my english, and also my french. I'm not interested in boring grammar lessons, I want to speak and keep in an exchange with other people.","I've lived in Bolivia, Ecuador, Brussels... and now, after coming back home, I realize I need to improve my English and also my French. I'm not interested in boring grammar lessons; I want to speak and keep in an exchange with other people.",Spanish<br/>Basque
1396,I am living in London from October and Im working as a Assistant Psychologist. I would like to improve my english and meet new people!,"I am living in London from October onwards, and I'm working as an assistant psychologist. I would like to improve my English and meet new people!",Spanish<br/>Basque
1397,I'm a native Basque that wants to practice english with native speakers (USA if possible).,I'm a native Basque who wants to practice English with native speakers (USA if possible).,Spanish<br/>Basque
1398,I want to practise my English by talking. I'm used to reading in English and also to listening to it when I watch films or use the internet but don't have the opportunity to speak English in my everyday life. I want to give it a try using this conversation exchange. If you help me with my English I can help you with Spanish or Basque. We can communicate using Whatsapp or Telegram or any Android voice app.,"I want to practice my English by talking. I'm used to reading in English and also to listening to it when I watch films or use the internet but don't have the opportunity to speak English in my everyday life. I want to give it a try using this conversation exchange. If you help me with my English, I can help you with Spanish or Basque. We can communicate using Whatsapp or Telegram or any Android voice app.",Spanish<br/>Basque
1399,"Hi, I´m university student from Spain, i like sports in general, music... I want to learn, practice english and japanese, and make friends of course.","Hi, I m a university student from Spain. I like sports in general, and music... I want to learn, practice English and Japanese, and make friends, of course.",Spanish<br/>Basque
1400,"Hello, I'm learning English but I don't speak in my city with anyone who isn't my classmate and I need to speak more fluently.","Hello, I'm learning English, but I don't speak in my city with anyone who isn't my classmate, and I need to speak more fluently.",Spanish<br/>Basque
1401,I am a Basque girl that follows her dreams. I have been in Ireland recently and I want to know more about Irish culture and languages: Irish and English. I wouldn't mind to learn Scottish as well. I want to pass my English exam in June.,"I am a Basque girl who follows her dreams. I have been to Ireland recently, and I want to know more about Irish culture and languages, especially English and Scottish. I wouldn't mind learning Scottish as well. I want to pass my English exam in June.",Spanish<br/>Basque
1402,"I am a Spanish student studying English for 6 months in Vancouver, looking forward to improve my English level. I want to practice as much as I can to keep improving my skills. Trying to immerse myself into the Vancouver life style. If you want to help me, I would gladly help you improving your Spanish. Thanks!","I am a Spanish student studying English for 6 months in Vancouver, looking forward to improving my English. I want to practice as much as I can to keep improving my skills while trying to immerse myself in the Vancouver life style. If you want to help me, I would gladly help you improve your Spanish. Thanks!",Spanish<br/>Basque
1403,"The main reason because of I am here is because I want study English. I would like to practice and learn English speaking with someone who's happy to spend time with me. In the same time, I would like help you to inprove your Spanish. I think this is a great way to learn speaking!","The main reason why I am here is because I want to study English. I would like to practice and learn English speaking with someone who's happy to spend time with me. At the same time, I would like to help you to improve your Spanish. I think this is a great way to learn Spanish!",Spanish<br/>Basque
1404,"Hi, I am Estibaliz, a pharmacist from Spain who lives in London. I moved 5 months ago, and I would like to follow improving my English. Of course, I'd be very happy to help you improving your Spanish and showing our culture. Contact me in case you are interested in this challenge.","Hi, I am Estibaliz, a pharmacist from Spain who lives in London. I moved 5 months ago, and I would like to continue improving my English. Of course, I'd be very happy to help you improve your Spanish and show our culture. Contact me in case you are interested in this challenge.",Spanish<br/>Basque
1405,I would like to improve my English and I think this way it's very useful,"I would like to improve my English, and I think this way it's very useful.",Spanish<br/>Basque
1406,"Hi!I am from Northern Spain (Basque Coast) my mother tongues are Basque and Spanish. I am currently learning English at the official language school. My current level is B2 and I need to practice writing and speaking skills. I would like to exchange conversations and writing corrections with an English native speaker , preferably from UK or Ireland , who is learning Basque or Spanish.","Hi!I am from Northern Spain (the Basque Coast), my mother tongues are Basque and Spanish. I am currently learning English at the official language school. My current level is B2, and I need to practice writing and speaking skills. I would like to exchange conversations and writing corrections with an English native speaker, preferably from the UK or Ireland, who is learning Basque or Spanish.",Spanish<br/>Basque
1407,"I would like to improve my English, especially conversation skills :S I can offer Basque or Spanish in exchange (both mother tongues). I like culture (reading, theatre, architecture,..), having a beer, laughing, sports,...and cooking! If you are interested, just let me know!","I would like to improve my English, especially conversation skills. I can offer Basque or Spanish in exchange (both mother tongues). I like culture (reading, theatre, architecture,..), having a beer, laughing, sports,...and cooking! If you are interested, just let me know!",Spanish<br/>Basque
1408,I'm Spanish/Basque guy trying to improve my English and I want to learn some Chinese basic knowledge.,"I'm a Spanish/Basque guy trying to improve my English, and I want to learn some basic Chinese knowledge.",Spanish<br/>Basque
1409,I am sixty-five years old and I am looking for someone from my age to practice and improve my English and Slovak. I am only looking for women. I want to share knowledge either in Catalan or in Spanish. My wish is to practice and improve my English and Slovak. I love my country and I would like to understand the different ways people think. I am really responsible.,"I am sixty-five years old, and I am looking for someone from my age to practice and improve my English and Slovak. I am only looking for women. I want to share knowledge either in Catalan or in Spanish. My wish is to practice and improve my English and Slovak. I love my country, and I would like to understand the different ways people think. I am really responsible.",Spanish<br/>Catalan
1410,"Hi everybody,
I’m 42 years old and I live near Sitges. I’m interested in improving my English to become fluid, specially conversation Skills. My English level is intermediate-upper intermediate. I could help you to improve your Spanish or Catalan level. My hobbies are playing Padel, running, engineering, team leadership, music, food, jokes. I hope to contact with you soon.","Hi everybody, I'm 42 years old, and I live near Sitges. I'm interested in improving my English to become fluid, especially conversation skills. My English level is intermediate-upper intermediate. I could help you to improve your Spanish or Catalan level. My hobbies are playing Padel, running, engineering, team leadership, music, food, jokes. I hope to contact you soon.",Spanish<br/>Catalan
1411,I'm trying to improve my english!,I'm trying to improve my English!,Spanish<br/>Catalan
1412,"I'd like to practice conversation with native English speakers, and meet new people. Of course I can help you with your Spanish. Contact me if you would like some language exchange over a drink.","I'd like to practice conversation with native English speakers and meet new people. Of course, I can help you with your Spanish. Contact me if you would like some language exchange over a drink.",Spanish<br/>Catalan
1413,"Hallochen I'm Núria and I'm looking for someone who can help me with English or German and Arab. My English it's really rusty and I need to practice it! Y acabo de empezar con el árabe, así que necesito mucha paciencia ;) I love animals, cycling and seat for a coffee :) We can take a coffee or go around while we make tandem!","Hallochen, I'm Nria, and I'm looking for someone who can help me with English or German and Arabic. My English is really rusty and I need to practice it! Y acabo de empezar con el árabe, as que necesito mucha paciencia ;) I love animals, cycling, and sitting for a coffee :) We can take a coffee or go around while we do tandem!",Spanish<br/>Catalan
1414,"I would like to improve my English and learn some French. I am from Barcelona (Spain) but I have lived in Mozambique for almost two years so I also speak Portuguese (and a little bit of Italian). I play the guitar and the bass (a bit!). I also love music, videogames and travelling.","I would like to improve my English and learn some French. I am from Barcelona (Spain), but I have lived in Mozambique for almost two years, so I also speak Portuguese (and a little bit of Italian). I play the guitar and bass (a bit!). I also love music, video games, and traveling.",Spanish<br/>Catalan
1415,"I did my career in international education but ten years ago I changed my job and my language skills got worse, so I’d like to revive them.","I had a career in international education, but ten years ago, I changed my job, and my language skills got worse, so I’d like to revive them.",Spanish<br/>Catalan
1416,"I'm Martina and I live in Barcelona. I just finished studying Translation and Interpreting and I like languages and learning about their cultures. I am sorry but I am not very good at writing, so I don't know what else to say.","I'm Martina, and I live in Barcelona. I just finished studying Translation and Interpreting, and I like languages and learning about their cultures. I am sorry, but I am not very good at writing, so I don't know what else to say.",Spanish<br/>Catalan
1417,I need to learn english for my phD of physiotherapy.,I need to learn English for my PhD in physiotherapy.,Spanish<br/>Catalan
1418,"I recently began to learn Korean and I can speak English, but I need fluency, so I speak once a week with an English teacher. I’d like to chat with someone in order to practise the language.","I recently began to learn Korean, and I can speak English, but I need fluency, so I speak once a week with an English teacher. I’d like to chat with someone in order to practice the language.",Spanish<br/>Catalan
1419,I've been studying English for 10 years and I would like to talk with someone who is interested in conversation. We can also practice Català or Spanish.,"I've been studying English for 10 years, and I would like to talk with someone who is interested in conversation. We can also practice Catalán or Spanish.",Spanish<br/>Catalan
1420,I am interested in improving my english. I would like to exchange my spanish with an english speaker.,I am interested in improving my English. I would like to exchange my Spanish with an English speaker.,Spanish<br/>Catalan
1421,I want to speak and understand English.,I want to speak and understand English.,Spanish<br/>Catalan
