,id,native,language,probabilities,english_only,text
16680,20511.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996819464198],True,"Hello guys! I am Nuria from Barcelona, I would love to meet new people and practice English, I can help you with Spanish or Spanish. I like nature, going for walks, going to dinner, going to the gym and of course going to the beach! do we have a wine ??"
16681,20512.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999951061195149],True,I'm law student in the University of Girona (Catalonia).
16682,20513.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961195026374],True,"Hello, I am learning English, many grammar and vocabulary, but less speaking, and I need to improve in this area."
16683,20514.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","[en:0.8571385203980719, es:0.14286037335923657]",False,Me gustaría practicar Inglés y aprender a defenderme en Japonés. He visitado Tokio recientemente y ya estoy planificando volver en octubre de 2020 . I would like to practice English and learn a little Japanese. I have visited Tokyo recently and I am already planning to return in October 2020.
16684,20516.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999963471198502],True,"I had study accounting and finance in spain, in barcelona then im native catalan and spanish spoken i love sport cars or something related in cars and practice scuba diving and surf. I like to talk about financial also. I want to improve my english and If somebody want to share with me it will be fantastic!!"
16686,20518.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999979668668626],True,"Interested in improve my English speaking, help others to improve their Spanish/Catalan and know nice people from abroad that share me their experiences around the world. Fins aviat! / Hasta pronto!"
16687,20519.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997242914217],True,"Hi there! I am Jud and I want to meet someone that can me help with my English. I can help with Spanish. My interesses are art, philosophy, programming and cooking. See you soon!"
16688,20522.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970725670857],True,Hi! How are you? I'm looking to practice my English. I mainly need to speak it because I'm not too fluent. I can help with Spanish or Catalan. What do you think?
16689,20528.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999980720570261],True,"I'm teacher of primary and Special Education in Barcelona. This year, I've moved to Dublin to improve my english and know the country and his culture. I would like to improve my convesation skills and I can help with Spanish and Catalan."
16690,20529.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999980732909692],True,"I'm here for improve my English, because I want to get the first certificate. I born in Barcelona and I have been living here, so I speak Catalan and Spanish"
16691,20530.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Esperanto', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999982627096171],True,"If I'm aproved, I'll spend 3 months in the UK or Ireland, from April to June. Meanwhile, I would like to practice English, as well as Esperanto."
16692,20531.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999963185217765],True,"Hi, I'm an spanish man living in Barcelona that want to learn and practice English. I speak Spanish as my native language. We can learn toghether while we drink a beer or walk by the city."
16693,20532.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999995830840428],True,"Hi Everyone! I'm a 22-year-old spanish girl. In my free time i like to watch tv series, movies and read books. My native languages are Catalan and Spanish . And I would like to improve my English :)"
16694,20533.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.8571405381460746, es:0.14285778553740983]",False,"Hello! I'm moving to Bristol in a few weeks and although I've been studying english for a while I need to practice more! Además, estaré encantada de ayudarte con español : )"
16695,20535.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Swedish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Norwegian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999980617748858],True,"I'm Monica. I would like to learn English, Italian, German,Swedish, Norwegian and French. I could help you with Spanish and Catalan."
16696,20537.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961087773473],True,"Hi, I’m Pau and I’m 34 years old. I’m from Barcelona but I decided to move to London because I want to improve my English and work in this beautiful place. I love practicing sports and going out with friends for drinks. We can arrange a meeting and spend nice time ecah other learning other languages."
16697,20538.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999998031437223],True,I am a Catalan/Spanish speaker wanting to learn English at an oral level especially in terms of pronunciation and fluency. I offer the teaching of any of the two languages that I speak.
16698,20540.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999947329696189],True,"Hi, I'm looking for a native english person for an english-spanish/catalan exchange. I want to improve my speaking fluency."
16699,20541.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997698012999],True,"I'm a very funny and friendly girl, I like play basketball and watch all the sports. I like reading books and organize events with my friends. I would like practise my english because I need this  in my work"
16700,20544.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999979491781065],True,I want to improve my english
16701,20545.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999983309550706],True,Hi! I'm Iris. I'm from Spain. I would like to improve my English because I like to travel a lot and because I like this language. I love animals. I work in a veterinarian shop and sometimes in a rehabilitation center of wild animals. I was studying environmental science and I have a Master of Biodiversity. :)
16702,20546.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999987605068872],True,"Hi, I'm an english student looking for someone to practice languages. We can speak catalan, spanish and english. I think that's a good way to learn toghether. isn't it ? If you're interested the same as me please let me know."
16703,20548.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]",[en:0.999996861627482],True,"Hello, I'm interested in improve my speaking. I'm studing english but I need to practice a lot. I want to find someone who would like to practice their catalan or spanish. Thanks!!!!"
16704,20549.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999983782794856],True,Hi! I'm Angel from Barcelona (Spain). I would like to improve my english skills having a conversations with native speakers because here it's difficult to have the chance to find someone. If you are learning spanish we could exchange languages and have a good time together.
16705,20552.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999988613405368],True,"Hi, I would like to improve my English. Looking for a peaceable teacher All the best"
16706,20553.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999984328518582],True,Hello. I´d like to find different people for casual chatting in english. Any subject is a goog excuse to practise in both languajes. I´m very bad at sports -sorry- casual philosophy and life experiences is probably my favourite. Politics too but without taking too passionate. See you soon.
16707,20554.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999967877177179],True,"Hello! I am a native Spanish and Catalan speaker looking to improve my English speaking skills. Would like to acquire more vocabulary just spending time with you. Also I encourage you to learn Spanish or Catalan and if you need vocabulary, verbs, connectors or learn something particular no worries! I can prepare some resources for you, will be a pleasure! Coffe, beer or walking? Sounds good for me!"
16708,20555.0,Spanish<br/>Catalan,"[{'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999957701094673],True,"Hello I'm Yin-soo (Hyun-Yoon) I will be glad to teach Spanish and Catalan. I would like to learn Chinese,Japanese and Korean. I am also looking for someone with who can practise my English. If you are interested,please don't doubt to contact me PD:Ithis is my second account because lost the other ones and I will be more active here so if you e-mailed me in the other one,please contact me here."
16709,20557.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961668318591],True,I need to improve my English since I use it every day at work. In exchange you can count with my native Catalan and Spanish.
16710,20558.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999979929189835],True,"I´m a teacher in High school o Spanish and Catalanish desde hace 25 años. Married. I passed English B2 and lov speaking and learning from people. I can, with pleasure, help with your spanish in exchange of practice in english, we can have a coffee during the conversation, walk, know Valencia..."
16711,20560.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970351496983],True,Spanish trying to improve my english in return of my Catalan or Spanish.
16712,20561.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997019896103],True,"Catalan girl living in Dublin since october last year. I would like to improve my English (that is why I'm living in Dublin), and meet new people."
16713,20562.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969576281573],True,I'm studying english and I need practised listening and speaking. I can help us with spanish or catalan
16714,20563.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999975247353351],True,I would like to talk with active speakers who are very interested on learn new languages. I will put all my effort and I will do as best as I can.
16715,20566.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999985842307758],True,I would like to practice my English with native people and in return I can help you with your Spanish .
16716,20567.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996862003496],True,"Hi guys! I'd like to improve my english and meet new people. I can ""teach"" you spanish and catalan and a lot of places un Vlc. If you're interesting , drop me a line! ;)"
16717,20568.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970042888999],True,Hi! I am learning English I am currently living in Dublin and I would like improve my speaking skills and I can help you if you want to learn Spanish :) Thanks!
16718,20569.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999956646006612],True,"Hi! I would like to practise English with a native speaker. I studied English philology 3 years ago and now I'm studying computer science in Madrid. I have some free days during the week so we can practise face-to-face conversation. If you want to practise your Spanish skills with me, I would be glad to help you :)"
16719,20570.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]",[en:0.9999977450417078],True,Hello! I am looking for someone to help me checking texts in English and to whom I can help with Spanish. Especially for social networks.
16720,20571.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999951639829545],True,"I'm Catalan,I'm 35.I speak Catalan, Spanish and I've an intermidate English level. I live in a little village. I'd like walking, going out with my friends, reading, travelling...."
16721,20573.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.99999785688706],True,"Hi , I am looking to improve my English in exchange for Spanish/Catalan."
16722,20575.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999954369510669],True,Hi! I am in Luzern for a few weeks and I'd like to meet someone to practice my very poor German or even talking in English. I can help you with my native languages: Catalan and Spanish.
16724,20579.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999989226050903],True,I need to improve my oral english! My native language are catalan and spanish. I would like speak with you on Monday's morning (from 9 to 12 a.m. European Time Zone).
16725,20580.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999973777926423],True,"Hey, I am a boy who is studying english and i would like to improve my speaking skills. I am native spanish and catalonian and I live in Barcelona. Thanks!"
16726,20582.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999977277890711],True,"Hi everybody! I would like to improve my ENGLISH (upper intermediate... years ago) speaking with a native one or somebody with the same level as me. I offer you conversation exchange in Spanish and Català. I like to speak about many topics, so you won´t be bored. I love the sea, running, tasty meals, reading, diving, cooking, wine, etc, etc. I´m facing the challenge to learn RUSSIAN too... It´s a nice language and I´m enjoying very much but... step by step. I´ll be glad if you contact with me"
16727,20583.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999962459173087],True,"Hi, I'm living in Cambridge until the 31st August and I'm on holidays so I would like to make the most of this time improving my speaking. I can offer good corrections and advices on Spanish and Catalan. See you! ;)"
16728,20584.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999995905221886],True,"Hi! I'm Samuel, from Barcelona, Spain and i'm looking for a free english exchange. I consider myself friendly and with a lot of conversation. If you want to learn Spanish, have a beer or a coffe and try to get a good time, i'm your man."
16729,20585.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961713736756],True,I’ve just moved to Denmark and I want to improve my English
16730,20586.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999979213693323],True,"Hi. I am Cèlia, I am from a town near from Baecelona. I like to draw and listen to music. I spend a lot of time with my friends, also. I am learning English, because I would like to live in another country."
16731,20587.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999995398129764],True,"Hi I am from Barcelona, and I have been living here all my life . I would like to improve my English, I need to practise conversation and start thinking in English! I think it's the key. If you are learning a language too ,I could help you learning Spanish or Catalan."
16732,20588.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996074259544],True,"I'm painter and I'm looking to practice my English for travel and meet new people. I use to read in English all I can, but really I want to speak and I haven't so opportunities. I'm a good spanish teacher :)"
16733,20589.0,Spanish<br/>Catalan,"[{'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.999994603150383],True,"Hi! I'm from Spain. I'm quite fluent in english since I've been learning it for many years, and now I'm also giving mandarin a try since I moved here. I would like to find a native English, Chinese or German speaker who's interested in learning or improving his/her spanish level. I studied German for two years but I forgot most of it due to non-practice. I love learning new languages, so it would be amazing If I could improve a little this way."
16735,20591.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961203198307],True,"Hi! I would like to find a regular partner for speaking English and Spanish/Catalan. I live in the city and I spend my free time reading, watching series and learning how life works :-)"
16736,20593.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999978713060543],True,"Hi, I would like to improve my conversational English and yo puedo enseñarte español o catalán. I want to emphasize that I'm HAPPILY MARRIED and my only intention is to improve my english and be able to help you with the spanish."
16737,20594.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969819301514],True,"Hi, I'm Gemma. I've just started getting interest in improving my English but in a future I would like to learn more lenguages. I hope this page can help me to find someone who can help me to improve my English skills."
16738,20596.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999974787619352],True,"Hi! I'm Anna from Barcelona. I would like to improve my english level, specially my speaking. I'll be more than happy to help you with your Spanish too!"
16739,20598.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999968385640026],True,"Hello, I'm from Barcelona and I want improve my English. If you can help me with it, I could help you with my native Spanish and Catalan. Please, write me if you are interested. Cheers!"
16740,20599.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999972260408592],True,"Hi! I'm Rosa :) I would like to meet people from other cultures and share with them our experiences. I can help you with your Spanish and you can help me to improve my English or Japanese in return. Well, I just started to learn Japanese by my own, so I just know a few words, but I would like to learn more. --- ¡Hola! Soy Rosa. Me gustaría conocer a gente de otras culturas, mientras mejoro y practico mi inglés y japonés. Estaré encantada de ayudarte con tu español. ^^"
16741,20600.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999972922662059],True,"Hi! I'm Joan, I'm from Badalona (Barcelona). I will be here in Belfast for three months doing a PhD stay, and I want to improve my english! Also I think it will a good experience for knowing better the city and the people that live in it! I can speek both native Catalan and spanish."
16742,20601.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960315096338],True,"Hello everyone! I'm Spanish guy, original from Valencia and I'm living in Swindon now. I'd love to meet English speakers for a language exchange and at the same time meet people and make good friends. I'd be happy to help with Spanish :) ¡Nos vemos!"
16743,20607.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999968991099271],True,"Hi! I'm Pablo. I live in Barcelona and I really want to improve my English and my speaking skills. That's why I'm looking for someone so we can exchange Spanish (or Catalan) for English. I'm used to watch movies and shows in English, but when I have to speak I get lost easily. Send me a message if you are interested! Thanks! :)"
16744,20608.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969462456715],True,Hello! I'm a teacher and I really want to learn English in order to aply it in my lessons (I teach food technology in a vocational course). I'm a catalan native speaker (with C2 titulation) and I can also use Spanish as a mother tongue. I prefer to have chat software exchange because I live in a little village and it could be difficult for me to find time for a face to face conversation (although I think that this is the best way to learn).
16745,20611.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Arabic', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Hindi', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.999997125644922],True,"I would like to practice a lot of speaking in English 'cause is important for my job. Also, the arabic is a language that I should to learn for the same reason."
16746,20612.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966750428888],True,"Hi everybody! I'm a Spanish au pair living in London (between Shoreditch and Bethnal Green area) . I have arrived no long ago to learn English. I'm a teacher, an easy going person who enjoy being with my friends. It would be nice find other people interested in a language exchange to help each other, I can help to learn Spanish or Català/Valencià language, and who knows even we can start a friendship. Thanks in advance :)"
16747,20614.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999964584820494],True,I would like to practice my English and I am welcome to help you to improve your Spanish or Catalan.
16748,20615.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999953947270028],True,"Hi friends! Currently, I´ve an intermediate level (B1), but I want to improve my conversations because talking is my biggest problem. I hope to meet someone who lives nearby to meet some time to talk face to face. See you soon!"
16750,20620.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 83.57142857142857, 'proficiency': 'Proficiency'}]",[en:0.9999970916341128],True,"Hello, I am Alba from Spain and I have been living in France for the last 5 years. I have moved in Paris from the south of France for work. I would like to improve my communication skills in english as I have never managed to speak fluently and I need it for my work. In exchange I will be happy to help you with your spanish or french (or catalan!) :-)"
16751,20621.0,Spanish<br/>Catalan,"[{'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999973760612133],True,"I'm Janira and I am from Spain but I'm staying for a little bit in Berlin. German seems to me an interesting launguage, so I want to learn it and also the culture around here while having fun!"
16752,20622.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999953126132947],True,Hi! I'm currently living in Barcelona and looking for language exchange meet people do activities. We can take coffee and pratice Spanish-English. Send me a message if you are interested! 
16753,20623.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999967558507613],True,"Hello I’m Marina and I am 19 years old. Actually i’m working like a au pair in Dublin, but i’m from Cataloni and I’m here since septembre and I really need learn english. I can help someone who want to lear spanish or catalan."
16754,20625.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970434518032],True,Hi there! I'm from Barcelona but living in Manchester currently. Exited knowing people who can help me practice English speaking to be more fluent and I'll be happy to help too. I appreciate people who's nice and has respect to other people. Oh! And patient ! Hahaha
16755,20627.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","[en:0.8571406250708117, es:0.14285742406671284]",False,En junio me voy 6 semanas a USA por trabajo y me gustaría practicar el Inglés de forma fluida.... In June I gonna work to USA for 6 weeks and I would like to improve my english conversation... thanks
16756,20628.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970439768228],True,I love to travel and I am studying law. My goal is to improve my level of English. I like to learn and teach so I would love to help if someone wants to learn or improve their Spanish.
16757,20632.0,Spanish<br/>Catalan,"[{'language': 'Italian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Basque', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999981218591831],True,"¡Hola! I'm a guy from Cáceres (Spain), but I’m living since I was 4 years old in Barcelona, so I can speak Spanish and Catalan as my native languages and I would be really glad to help you with any of both. The main languages I'm studying nowadays are (in this order): Chinese Mandarin (zhongwén), Basque (euskara) and Italian (italiano), but I have also studied some Moroccan Arabic (darija). If you want to help me with these languages, with others or practice English don’t hesitate to message me!"
16758,20634.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961788084164],True,"I was living in Dublin for 8 months and it was a really nice experience. There, I discovered that the best and more interesting way to learn a language is talking with other people. I can talk about current issues, but I specially like to talk about traveling, gastronomy, sports, culture and give advices to discover some of the most amazing places of my country. I'll be a pleasure to help you with your Spanish and Catalan!"
16759,20636.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999956818520968],True,"Hello, I'm a Spanish student from Valencia wanting to practice some English during the year with native speakers, I can help you with your Spanish or Valencian in exchange. We can go out and have a drink or something. Please contact me if you're interested,thank you."
16761,20638.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999975778997721],True,"Hello everyone! I've just moved to stockholm for work and i'd like to improve my english because at work we just speak in spanish, so if you are looking for improve your catalan or spanish... don't hesitate!!!"
16762,20639.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999951153299343],True,Hii everyone im looking for a english native who wanted to learn Spanish or Catalan. I want improve my english.
16763,20641.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960125251734],True,I am student electronic student. I like play Basketball and computer games.
16764,20642.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999981138637006],True,"Hi everyone! I'm a native Spanish speaker from Spain. I'm a nursing student and my last English class was like two years ago, so I don't know how is my english level nowadays. I would like to practice English with a native speaker. In return, I can help you with Spanish or Catalan. Feel free to contact me!"
16765,20643.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969902265666],True,"Hello, I am from Barcelona and I am looking for someone to practise my English. I can help you with you Spanish or Catalan. Don't worry for your level i am so patience. We can improve together while we are taking some coffee or drink. Thank you!!! Alberto"
16766,20644.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999970746741214],True,"I'm a 22 guy, from Barcelona and Menorca, and I'm studying the Nautical and Maritime Transport degree. I like sports so much, and I practise football, since I was a child. I offer improve Spanish or Catalan, and i wanna learn, speaking, the English language. I dont have any priorities, my only objective is to learn the language. Thanks Josep"
16767,20645.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999962880080862],True,"Hello! I would like to practice english, speaking and writing...I live in Catalan Pyrenees and it isn't easy to find people for comversation. Thanks!"
16768,20651.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999945497666511],True,"I'm studying english, but in my daily time I don't have opportunity to practise. I'm looking for somebody who wants to learn Spanish and could help me improve my English. I like to practise sports, read books and go out with my friends."
16769,20654.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999977699086191],True,Hey! I'm looking people to improve my english. I can offer catalan or spanish. Thanks :)
16770,20657.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",[en:0.9999985256036923],True,Hello! I need to learn english. I wish to learn Italian and Japan. I can teach you spanish or/and catalan :).
16771,20662.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999974647016159],True,I'm from BCN and I'm working in a multinacional company as a HR Consultant. I'd like to improve my English skills but I don't have a lot of time I have a busy live. KR
16772,20663.0,Spanish<br/>Catalan,"[{'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999971240827588],True,"Hello! I'm David, 26 years old always smiling! I really love knows new languajes since i was a child, actually i want to learn Japanese because i gonna travel to Japan so i want to learn it!! By the way, if you are learning about Spanish, just tell me and i can try to help you!"
16773,20664.0,Spanish<br/>Catalan,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999952884519298],True,"From Barcelona, I come back to Barcelona after 3 weeks in Toronto ! I like talking about cinema, music and going to live concerts! My pronunciation is very bad, but in the end you can understand me :)"
